ความปลอดภัย,ไฟไม่สว่าง,ผมกลับบ้านดึกแล้วไม่มีไฟเลยครับ มืดมากน่ากลัวมาก รบกวนพี่ๆช่วยแก้ไขให้ด้วยคับบ,2,nokkok,ยังไม่ดำเนินการ,02-08-2022 12:18:39,-,สถานที่,ใต้ตึก sc45,-
ความสะอาด,แมลงสาบในห้องน้ำ,มีแมลงสาบตัวเท่านิ้วโป้งอยู่ในห้องน้ำหญิง ผมเข้าไปใช้บริการแล้วกลัวมาก รบกวนให้แม่บ้านช่วยทำความสะอาดให้ดีกว่านี้ด้วยครับ,0,nokkok,ยังไม่ดำเนินการ,02-08-2022 14:20:24,-,สถานที่,ห้องน้ำตึก sc45ชั้น8,-
ยานพาหนะ,รถประจำทางมาช้าเกินไป,ผมต้องการจะเดินทางจาก หน้าประตูพหลโยธินมาที่คณะวิทยาศาสตร์ แต่ไม่มีรถผ่านมาสักคันเลยคับ ผมเลยมาเรียนอาจารย์แซ็คสายเนี่ยย,7,nokkok,ยังไม่ดำเนินการ,02-09-2022 09:38:29,-,ประเภทรถ,รถประจำทาง,-
อาคารชำรุด,ผมถูกเศษปูนหล่นใส่,ผมเดินจับมือกับแฟนผมเพื่อที่จะไปกินข้าวเที่ยงที่โรงอาหารคณะวิทยาศาสตร์ จู่ๆก็ได้ยินเสียงเหมือนปูนแตกจากชั้นบ่น ผมถูกเศษปูนกระแทกที่แขน แต่แฟนผมหัวแตก รบกวนช่วยแก้ไขด้วยครับ,1,seri,ยังไม่ดำเนินการ,05-08-2022 20:27:09,-,อาคาร,ตึก scl,-
ยานพาหนะ,รถประจำทางสงเสียงดัง,รถประจำทางส่งเสียงดังน่ารำคาญ ผมไม่มีสมาธิเรียนเลยครับ,5,seri,อยู่ระหว่างการดำเนินการ,08-08-2022 11:30:09,กำลังประสานงาน,ประเภทรถ,รถประจำทาง,tranport3
ความปลอดภัย,มีคนแปลกหน้าเดินตาม,หนูโดนผู้ชายมีหนวดมีเคราเดินตาม เขาทำท่าทางแปลกๆด้วยค่ะ หนูกลัวมากๆ,0,ratri,ยังไม่ดำเนินการ,10-08-2022 20:34:48,-,สถานที่,หอหญิง,-
อาคารชำรุด,ถูกเศษปูนจนหัวแตก,หนูเดินจับมือกับแฟนผ่านตึก scl แล้วหนูก็โดนเศษปูนหล่นทับหัวแตกเลยค่ะ แต่แฟนหนูแขนช้ำเพราะโดนเศษปูน หนูเลยต้องพาแฟนไปทำแผลที่โรงพยาบาลเลยค่ะ รบกวนแก้ด้วยนะคะ,12,ratri,ยังไม่ดำเนินการ,17-08-2022 15:38:32,-,อาคาร,ตึก scl,-
ถนน ทางเท้า,ไม่มีทางเดิน,ตรงนี้ไม่มีฟุตบาทให้เดินเลยค่ะ หนูต้องเดินหลบรถที่เฉี่ยวไปมา น่ากลัวมากๆค่ะ,3,ratri,อยู่ระหว่างการดำเนินการ,23-08-2022 12:43:10,-,สถานที่,อาคารสำนักกีฬา,road1
อาคารชำรุด,ห้องเรียนเก่า,ตึกก็เก่า เก้าอี้ก็นั่งไม่สบาย ลำโพงยังเสียอีก ผมไม่มีอารมณ์เรียนละ,0,thawan,ดำเนินการเสร็จสิ้น,25-09-2022 20:44:51,-,อาคาร,ศร.1,building1
ถนน ทางเท้า,ฟุตบาทเดินไม่ได้,ฟุตบาทที่นี่เป็นหลุมเยอะมาก ฝนตกน้ำขังแล้วผมชอบจมลงไปในน้ำตลอดเลยครับ,1,seri,ยังไม่ดำเนินการ,05-10-2022 14:39:32,-,สถานที่,บาร์ใหม่,-
